Right Vastus lateralis~5,Right Biceps femoris caput longus~5,Right Gastrocnemius lateralis~5,Right Gluteus maximus~5,Right Rectus femoris~5
0.1046025105,0.0418994413,0.5272727273,0.1257142857,0.0265780731
0.1046025105,0.0418994413,0.5181818182,0.1257142857,0.0282392027
0.1066945607,0.0418994413,0.5090909091,0.1200000000,0.0282392027
0.1066945607,0.0418994413,0.4954545455,0.1142857143,0.0299003322
0.1087866109,0.0418994413,0.4818181818,0.1085714286,0.0299003322
0.1087866109,0.0418994413,0.4636363636,0.1028571429,0.0315614618
0.1108786611,0.0418994413,0.4409090909,0.0971428571,0.0315614618
0.1129707113,0.0418994413,0.4227272727,0.0914285714,0.0332225914
0.1150627615,0.0418994413,0.4045454545,0.0914285714,0.0332225914
0.1171548117,0.0418994413,0.3863636364,0.0857142857,0.0348837209
0.1192468619,0.0446927374,0.3681818182,0.0857142857,0.0365448505
0.1234309623,0.0446927374,0.3545454545,0.0857142857,0.0382059801
0.1276150628,0.0446927374,0.3454545455,0.0857142857,0.0398671096
0.1338912134,0.0474860335,0.3363636364,0.0914285714,0.0415282392
0.1401673640,0.0502793296,0.3363636364,0.0971428571,0.0431893688
0.1464435146,0.0502793296,0.3363636364,0.1028571429,0.0448504983
0.1548117155,0.0530726257,0.3409090909,0.1085714286,0.0481727575
0.1631799163,0.0558659218,0.3454545455,0.1200000000,0.0514950166
0.1715481172,0.0586592179,0.3590909091,0.1314285714,0.0531561462
0.1799163180,0.0586592179,0.3727272727,0.1428571429,0.0564784053
0.1903765690,0.0614525140,0.3863636364,0.1542857143,0.0598006645
0.1987447699,0.0642458101,0.4045454545,0.1657142857,0.0631229236
0.2092050209,0.0642458101,0.4227272727,0.1771428571,0.0664451827
0.2175732218,0.0670391061,0.4363636364,0.1885714286,0.0697674419
0.2259414226,0.0670391061,0.4545454545,0.1942857143,0.0730897010
0.2322175732,0.0670391061,0.4681818182,0.2057142857,0.0764119601
0.2405857741,0.0670391061,0.4818181818,0.2114285714,0.0797342193
0.2447698745,0.0670391061,0.4909090909,0.2171428571,0.0813953488
0.2489539749,0.0670391061,0.5000000000,0.2171428571,0.0830564784
0.2510460251,0.0670391061,0.5045454545,0.2171428571,0.0847176080
0.2531380753,0.0642458101,0.5090909091,0.2171428571,0.0863787375
0.2531380753,0.0642458101,0.5090909091,0.2171428571,0.0863787375
0.2510460251,0.0614525140,0.5090909091,0.2114285714,0.0863787375
0.2489539749,0.0614525140,0.5045454545,0.2114285714,0.0847176080
0.2447698745,0.0586592179,0.5000000000,0.2057142857,0.0830564784
0.2405857741,0.0586592179,0.4909090909,0.2000000000,0.0813953488
0.2343096234,0.0558659218,0.4818181818,0.1942857143,0.0780730897
