Right Vastus lateralis~5,Right Biceps femoris caput longus~5,Right Gastrocnemius lateralis~5,Right Gluteus maximus~5,Right Rectus femoris~5
0.7939698492,0.6011904762,0.1346153846,0.9447236181,0.6405405405
0.7788944724,0.6071428571,0.1346153846,0.9195979899,0.627027027
0.7663316583,0.6130952381,0.1346153846,0.8994974874,0.6135135135
0.7512562814,0.619047619,0.1346153846,0.8743718593,0.6027027027
0.7386934673,0.625,0.1346153846,0.8492462312,0.5891891892
0.7261306533,0.625,0.1346153846,0.8291457286,0.5783783784
0.7135678392,0.630952381,0.125,0.8090452261,0.5675675676
0.7010050251,0.6369047619,0.125,0.7889447236,0.5567567568
0.6909547739,0.6428571429,0.125,0.7688442211,0.5459459459
0.6834170854,0.6488095238,0.125,0.7537688442,0.5378378378
0.675879397,0.6488095238,0.1153846154,0.743718593,0.5297297297
0.6708542714,0.6547619048,0.1153846154,0.7286432161,0.5216216216
0.6658291457,0.6607142857,0.1153846154,0.7236180905,0.5135135135
0.6633165829,0.6607142857,0.1153846154,0.7135678392,0.5054054054
0.6608040201,0.6607142857,0.1057692308,0.7135678392,0.5
0.6608040201,0.6607142857,0.1057692308,0.7085427136,0.4918918919
0.6633165829,0.6607142857,0.1057692308,0.7085427136,0.4864864865
0.6658291457,0.6607142857,0.1057692308,0.7085427136,0.4783783784
0.6683417085,0.6607142857,0.1057692308,0.7135678392,0.4702702703
0.6708542714,0.6547619048,0.1057692308,0.7185929648,0.4621621622
0.675879397,0.6547619048,0.1057692308,0.7236180905,0.4540540541
0.6809045226,0.6488095238,0.1057692308,0.7286432161,0.4432432432
0.6859296482,0.6428571429,0.1057692308,0.7336683417,0.4324324324
0.6909547739,0.630952381,0.1057692308,0.7386934673,0.4216216216
0.6959798995,0.625,0.1057692308,0.743718593,0.4108108108
0.7010050251,0.6130952381,0.1153846154,0.7487437186,0.3972972973
0.7035175879,0.6011904762,0.1153846154,0.7537688442,0.3837837838
0.7060301508,0.5892857143,0.125,0.7587939698,0.3702702703
0.7085427136,0.5773809524,0.125,0.7587939698,0.3540540541
0.7085427136,0.5654761905,0.1346153846,0.7638190955,0.3378378378
0.7085427136,0.5476190476,0.1442307692,0.7638190955,0.3216216216
0.7060301508,0.5357142857,0.1442307692,0.7638190955,0.3054054054
0.7035175879,0.5178571429,0.1538461538,0.7638190955,0.2918918919
0.7010050251,0.505952381,0.1634615385,0.7638190955,0.2756756757
0.6959798995,0.4880952381,0.1730769231,0.7587939698,0.2594594595
0.6884422111,0.4761904762,0.1826923077,0.7587939698,0.2459459459
0.6834170854,0.4583333333,0.1826923077,0.7537688442,0.2297297297
0.675879397,0.4464285714,0.1923076923,0.7487437186,0.2162162162
0.6658291457,0.4345238095,0.2019230769,0.743718593,0.2027027027
0.6582914573,0.4166666667,0.2115384615,0.7386934673,0.1918918919
0.648241206,0.4047619048,0.2211538462,0.7336683417,0.1810810811
0.6381909548,0.3928571429,0.2211538462,0.7286432161,0.1702702703
0.6281407035,0.3869047619,0.2307692308,0.7236180905,0.1621621622
0.6180904523,0.375,0.2307692308,0.7185929648,0.1540540541
0.6055276382,0.3630952381,0.2403846154,0.7135678392,0.1459459459
0.5954773869,0.3571428571,0.2403846154,0.7085427136,0.1405405405
0.5829145729,0.3511904762,0.2403846154,0.7035175879,0.1351351351
0.5728643216,0.3452380952,0.2403846154,0.6984924623,0.1297297297
0.5603015075,0.3392857143,0.2403846154,0.6934673367,0.127027027
0.5477386935,0.3333333333,0.2403846154,0.6884422111,0.1243243243
0.5351758794,0.3273809524,0.2403846154,0.6783919598,0.1216216216
0.5226130653,0.3273809524,0.2403846154,0.6733668342,0.1189189189
0.5075376884,0.3214285714,0.2307692308,0.6683417085,0.1189189189
0.4949748744,0.3214285714,0.2307692308,0.6633165829,0.1162162162
0.4798994975,0.3154761905,0.2211538462,0.6532663317,0.1162162162
0.4673366834,0.3154761905,0.2211538462,0.648241206,0.1135135135
0.4522613065,0.3154761905,0.2115384615,0.6432160804,0.1135135135
0.4371859296,0.3154761905,0.2019230769,0.6331658291,0.1135135135
0.4195979899,0.3095238095,0.2019230769,0.6281407035,0.1135135135
0.4045226131,0.3095238095,0.1923076923,0.6180904523,0.1108108108
0.3894472362,0.3095238095,0.1826923077,0.608040201,0.1108108108
0.3718592965,0.3095238095,0.1730769231,0.6030150754,0.1108108108
0.3567839196,0.3095238095,0.1730769231,0.5929648241,0.1108108108
0.3417085427,0.3095238095,0.1634615385,0.5829145729,0.1081081081
0.324120603,0.3035714286,0.1538461538,0.5728643216,0.1081081081
0.3090452261,0.3035714286,0.1538461538,0.5628140704,0.1081081081
0.2939698492,0.3035714286,0.1442307692,0.5577889447,0.1054054054
0.2814070352,0.3035714286,0.1442307692,0.5477386935,0.1054054054
0.2663316583,0.3035714286,0.1442307692,0.5376884422,0.1054054054
0.2537688442,0.3035714286,0.1346153846,0.527638191,0.1027027027
0.2412060302,0.3095238095,0.1346153846,0.5175879397,0.1027027027
0.2286432161,0.3095238095,0.1346153846,0.5075376884,0.1
0.2185929648,0.3095238095,0.1346153846,0.4974874372,0.1
0.2110552764,0.3154761905,0.1442307692,0.4924623116,0.1
0.2010050251,0.3214285714,0.1442307692,0.4824120603,0.0972972973
0.1934673367,0.3273809524,0.1442307692,0.472361809,0.0972972973
0.1884422111,0.3333333333,0.1538461538,0.4673366834,0.0972972973
0.1809045226,0.3392857143,0.1634615385,0.4623115578,0.0972972973
0.1783919598,0.3452380952,0.1730769231,0.4522613065,0.0972972973
0.1733668342,0.3571428571,0.1826923077,0.4472361809,0.0972972973
0.1708542714,0.3630952381,0.1923076923,0.4422110553,0.0972972973
0.1708542714,0.375,0.2019230769,0.4371859296,0.0972972973
0.1708542714,0.3869047619,0.2115384615,0.432160804,0.0972972973
0.1708542714,0.3988095238,0.2211538462,0.4271356784,0.1
0.1708542714,0.4047619048,0.2403846154,0.4271356784,0.1
0.1733668342,0.4166666667,0.25,0.4221105528,0.1
0.175879397,0.4285714286,0.2596153846,0.4221105528,0.1027027027
0.1783919598,0.4404761905,0.2788461538,0.4170854271,0.1027027027
0.1834170854,0.4523809524,0.2884615385,0.4170854271,0.1054054054
0.1859296482,0.4583333333,0.3076923077,0.4120603015,0.1081081081
0.1909547739,0.4702380952,0.3173076923,0.4120603015,0.1081081081
0.1934673367,0.4761904762,0.3269230769,0.4120603015,0.1108108108
0.1984924623,0.4821428571,0.3365384615,0.4120603015,0.1108108108
0.2035175879,0.4880952381,0.3461538462,0.4120603015,0.1135135135
0.2060301508,0.494047619,0.3557692308,0.4070351759,0.1135135135
0.2110552764,0.5,0.3653846154,0.4070351759,0.1162162162
0.2135678392,0.5,0.3653846154,0.4070351759,0.1162162162
0.216080402,0.5,0.3653846154,0.4020100503,0.1162162162
0.2185929648,0.505952381,0.3653846154,0.4020100503,0.1189189189
0.2211055276,0.5,0.3653846154,0.3969849246,0.1189189189
0.2211055276,0.5,0.3653846154,0.391959799,0.1189189189
0.2211055276,0.5,0.3653846154,0.391959799,0.1189189189
0.2211055276,0.494047619,0.3557692308,0.3869346734,0.1189189189
0.2211055276,0.494047619,0.3461538462,0.3819095477,0.1162162162
0.2185929648,0.4880952381,0.3365384615,0.3718592965,0.1162162162
